編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
1,臺中市公告土地現值暨公告地價調整情形表,臺中市政府地政局 -地價科,臺中市政府,地政局,,,行政區、106年公告土地現值調整情形、105年公告地價調整情形
2,臺中市地價評議委員會評議案件數量統計表,臺中市政府地政局-地價科,臺中市政府,地政局,,,年度、地評會召開次數、評議案件數量
3,臺中市土地徵收補償市價查估及評議作業情形表,臺中市政府地政局-地價科,臺中市政府,地政局,,,年度、估價基準日、案件數量
4,臺中市土地筆數面積公告土地現值,臺中市政府地政局-地價科,臺中市政府,地政局,,,行政區、都市土地、非都市土地、筆數、面積、公告土地現值總額
5,臺中市地價區段數統計表,臺中市政府地政局-地價科,臺中市政府,地政局,,,行政區、區段數
6,臺中市非都市土地使用分區筆數面積公告土地現值表,臺中市政府地政局-地價科,臺中市政府,地政局,,,使用分區、土地筆數、百分比、面積、公告土地現值總額
7,臺中市地價調查用建築改良物標準單價表,臺中市政府地政局-地價科,臺中市政府,地政局,,,構造類別、、地上樓層數、標準單價
8,台中市11處主要危險水域，均不得從事任何水域活動，以避免溺水意外發生。,臺中市政府觀光旅遊局,臺中市政府,觀光旅遊局,,,除公告主要危險水域範圍外，凡有豎立危險警告牌的水域，均不得從事任何水域活動，以避免溺水意外發生。
9,臺中市政府地方稅務局106年1月全功能服務櫃台服務件數統計表,臺中市政府地方稅務局,臺中市政府,地方稅務局,,,分局名稱、月份、件數
10,臺中市刑事案件統計資料,臺中市政府警察局刑事警察大隊,臺中市政府,警察局,,,臺中市處理刑事案件－全般刑案
11,臺中市政府地方稅務局106年1月厝邊服務要您好稅服務件數統計表,臺中市政府地方稅務局,臺中市政府,地方稅務局,,,月份、服務項目、單位、件數
12,106年臺中市土地建物登記管理,臺中市政府地政局‧地籍科,臺中市政府,地政局,,,件數、土地筆數、土地面積、建物筆數、建物面積
13,臺中市一般地區環境音量監測不合格情形,環境保護局,臺中市政府,環保局,,,臺中市一般地區環境音量監測不合格情形
14,104年臺中市廢機動車量認定及移置統計,環境保護局,臺中市政府,環保局,,,臺中市廢機動車量認定及移置統計
15,104年臺中市環境影響評估個案監督及處分情形,環境保護局,臺中市政府,環保局,,,臺中市環境影響評估個案監督及處分情形
16,104年臺中市取締妨害風化場所績效,警察局,臺中市政府,警察局,,,臺中市取締妨害風化場所績效
17,104年臺中市處理違反社會秩序維護法案件,警察局,臺中市政府,警察局,,,臺中市處理違反社會秩序維護法案件
18,104年臺中市少年(兒童)犯罪狀況,警察局,臺中市政府,警察局,,,臺中市少年(兒童)犯罪狀況
19,104年臺中市防處少年(兒童)事件執行成果,警察局,臺中市政府,警察局,,,臺中市防處少年(兒童)事件執行成果
20,104年臺中市妨害兵役案件,民政局,臺中市政府,民政局,,,臺中市妨害兵役案件
21,104年臺中市攤販數量及取締績效,警察局,臺中市政府,警察局,,,臺中市攤販數量及取締績效
22,104年臺中市身心障礙者之年齡分配,社會局,臺中市政府,社會局,,,臺中市身心障礙者之年齡分配
23,104年臺中市長期照顧十年計畫(五)-交通接送服務,社會局,臺中市政府,社會局,,,臺中市長期照顧十年計畫(五)-交通接送服務
24,104年臺中市長期照顧十年計畫(四)-老人營養餐飲服務,社會局,臺中市政府,社會局,,,臺中市長期照顧十年計畫(四)-老人營養餐飲服務
25,104年臺中市長期照顧十年計畫(三)-家庭托顧,社會局,臺中市政府,社會局,,,臺中市長期照顧十年計畫(三)-家庭托顧
26,104年臺中市長期照顧十年計畫(二)-日間照顧,社會局,臺中市政府,社會局,,,臺中市長期照顧十年計畫(二)-日間照顧
27,104年臺中市長期照顧十年計畫(一)-居家服務,社會局,臺中市政府,社會局,,,臺中市長期照顧十年計畫(一)-居家服務
28,104年臺中市辦理受聘僱外國人(外籍勞工)健康檢查不合格情形(年),衛生局,臺中市政府,衛生局,,,臺中市辦理受聘僱外國人(外籍勞工)健康檢查不合格情形(年)
29,104年臺中市辦理受聘僱外國人(外籍勞工)健康管理工作(年),衛生局,臺中市政府,衛生局,,,臺中市辦理受聘僱外國人(外籍勞工)健康管理工作(年)
30,104臺中市遊民處理情形,社會局,臺中市政府,社會局,,,臺中市遊民處理情形
31,臺中市政府消防局105年度下半年物資捐贈及現金捐款芳名冊,臺中市政府消防局秘書室,臺中市政府,消防局秘書室,,,包含捐贈公司名稱/個人、捐贈項目、時價、捐贈用途及使用單位
32,臺中市有土地清冊,臺中市政府地政局,臺中市政府,地政局,,,"段小段	地號	面積(平方公尺)	鄉鎮市區	登記次序	權利範圍分母	權利範圍分子	所有權人	管理機關"
33,臺中市性侵害案量統計,臺中市家庭暴力及性侵害防治中心,臺中市政府,家庭暴力及性侵害防治中心,,,年、統計量
34,臺中市家庭暴力案量統計,臺中市家庭暴力及性侵害防治中心,臺中市政府,家庭暴力及性侵害防治中心,,,案件類別、年度
35,自來水承裝商統計,臺中市政府經濟發展局,臺中市政府,經濟發展局,,,承裝商名稱、等級、許可證字號、狀態、營業地址
36,瓦斯行清冊,臺中市政府經濟發展局,臺中市政府,經濟發展局,,,販賣者商號名稱、地址、負責人、電話號碼
37,臺中市建築物公共安全檢查簽證及申報 核准備查件數,臺中市政府都市發展局-使用管理科,臺中市政府,都市發展局,,,公安申報區間、A類、B類、C類、D類、E類、F類、G類、H類
38,106年度臺中市地方總預算附屬單位預算及綜計表,臺中市政府主計處第二科,臺中市政府,主計處,,,臺中市附屬單位預算及綜計表各項表件
39,臺中市刑事案件統計資料,臺中市政府警察局刑事警察大隊,臺中市政府,警察局,,,臺中市處理刑事案件－全般刑案
40,105年第4季臺中市地方稅案件提起行政救濟件數統計表,臺中市政府地方稅務局,臺中市政府,地方稅務局,,,復查、訴願、行政訴訟第一審、行政訴訟上訴審、各地方稅稅目
41,臺中市颱風災害人員傷亡、建物損失、重大災害財物損失報表,臺中市政府消防局,臺中市政府,消防局,,,人員傷亡數、建物損失數、出動救災人員(人次)、出動救災裝備數、年別及區域別
42,台74線快速道路沿線大型違規廣告物拆除統計表,臺中市政府都市發展局廣告物管理科,臺中市政府,都市發展局,,,拆除前後照片、地點，以及辦理狀況
43,臺中市地震斷層帶圖資,臺中市,臺中市政府,,,,臺中市地震斷層帶圖資
44,105年臺中市義消人數統計表,臺中市政府消防局,臺中市政府,消防局,,,105年臺中市義消人數統計表包含性別職稱年齡及總人數
45,臺中市各區各里簡易疏散避難圖,臺中市政府消防局,臺中市政府,消防局,,,臺中市各區各里簡易疏散避難圖
46,105年臺中市政府消防局住警器推廣執行成果,臺中市政府消防局,臺中市政府,消防局,,,105年臺中市政府消防局住警器推廣執行成果
47,台中市防焰性能認證廠商,臺中市政府消防局,臺中市政府,消防局,,,場所名稱及地址
48,105年標售市有不動產開標結果,臺中市政府財政局,臺中市政府,財政局,,,無
49,臺中市列管狹小巷道建議禁止臨時停車範圍清冊,臺中市政府消防局,臺中市政府,消防局,,,編號:依各行政區進行排序地點:本市列管狹小巷道名稱建議禁止臨時停車範圍:本市列管狹小巷道中建議禁止臨時停車範圍
50,臺中市消防安全設備查察處理(105年12月),臺中市政府消防局,臺中市政府,消防局,,,臺中市消防安全設備查察處理(105年12月)
51,105年下半年度臺中市消防安全檢查列管對象,臺中市政府消防局,臺中市政府,消防局,,,105年下半年度臺中市消防安全檢查列管對象
52,違反不動產經紀業管理條例裁罰名單,臺中市政府地政局‧地價科,臺中市政府,地政局,,,裁處日期，受處分人姓名或名稱，罰鍰金額，違反法條。
53,臺中市每季房地產消費糾紛原因及來源明細統計表,臺中市政府地政局‧地價科,臺中市政府,地政局,,,消費糾紛原因，仲介，代銷，建商，地政士，其他。
54,臺中市合法地政士開業名冊,臺中市政府地政局‧地價科,臺中市政府,地政局,,,姓名，電話，開業證書字號，執照有效期限，事務所名稱，事務所地址。
55,臺中市政府開發工業區及都市計畫工業區,臺中市政府經濟發展局,臺中市政府,經濟發展局,,,行政區、工業區名稱、工業區面積、管理單位、工業區網址、鄰近道路
56,臺中市公有零售市場販賣商品清冊,臺中市政府經濟發展局,臺中市政府,經濟發展局,,,市場名稱、攤鋪位編號、販售商品、地址、備註
57,臺中市產業及社福外籍勞工人數,臺中市政府勞工局(外勞事務科),臺中市政府,勞工局,,,總計、產業外籍勞工合計、印尼、菲律賓、泰國、越南、社福外籍勞工合計、印尼、菲律賓、泰國、越南
58,臺中市政府警察局為民服務成果統計表,臺中市政府警察局,臺中市政府,警察局,,,1、協尋查尋人口身分不明者暨蹺家青少年返家團圓2、民眾舉家外出、加強住宅巡邏服務3、受理公司、行號、團體民眾護鈔4、服務台服務5、廣播服務6、急難救助排難解困7、民情、輿情
59,104年臺中市所得收入者平均每人所得分配按職業別分,主計處,臺中市政府,主計處,,,臺中市所得收入者平均每人所得分配按職業別分
60,臺中市直轄市第二屆市政會議紀錄摘要(CSV),臺中市政府研究發展考核委員會,臺中市政府,研究發展考核委員會,,,市政會議紀錄簡易摘要暨函文資訊
61,臺中市收費公用廣告欄設置地點一覽表暨Q&A,臺中市政府民政局,臺中市政府,民政局,,,臺中市收費公用廣告欄設置地點一覽表暨Q&A
62,臺中市直轄市第二屆市政會議紀錄摘要(XLSX),臺中市政府研究發展考核委員會,臺中市政府,研究發展考核委員會,,,市政會議紀錄簡易摘要暨函文資訊
63,104年臺中市所得收入者平均每人所得分配按性別分,主計處,臺中市政府,主計處,,,104年臺中市所得收入者平均每人所得分配按性別分
64,104年臺中市家庭戶數按經濟戶長性別及所得總額組別分,主計處,臺中市政府,主計處,,,臺中市家庭戶數按經濟戶長性別及所得總額組別分
65,104年臺中市平均每戶家庭收支按經濟戶長職業別分,主計處,臺中市政府,主計處,,,臺中市平均每戶家庭收支按經濟戶長職業別分
66,104年臺中市平均每戶家庭收支按經濟戶長性別分,主計處,臺中市政府,主計處,,,臺中市平均每戶家庭收支按經濟戶長性別分
67,104年臺中市各項預防接種完成率統計(半年),衛生局,臺中市政府,衛生局,,,臺中市各項預防接種完成率統計(半年)
68,104年臺中市高級中等學校夜間部班級數學生暨畢業生人數─學科類別（年級別）,教育局,臺中市政府,教育局,,,臺中市高級中等學校夜間部班級數學生暨畢業生人數─學科類別（年級別）
69,104年臺中市主要死亡原因,衛生局,臺中市政府,衛生局,,,臺中市主要死亡原因
70,104年臺中市各級學校學生人數,教育局,臺中市政府,教育局,,,臺中市各級學校學生人數
71,104年每年臺中市特殊學校學生年齡別統計,教育局,臺中市政府,教育局,,,每年臺中市特殊學校學生年齡別統計
72,104年臺中市各區 戶長按性別、年齡及教育程度分,民政局,臺中市政府,民政局,,,臺中市各區 戶長按性別、年齡及教育程度分
73,104年臺中市國民小學校數按班級數、學生數別分,教育局,臺中市政府,教育局,,,臺中市國民小學校數按班級數、學生數別分
74,104年臺中市國小補校學生年齡別統計,民政局,臺中市政府,民政局,,,臺中市國小補校學生年齡別統計
75,104年臺中市國民中學校數按班級數、學生數別分,教育局,臺中市政府,教育局,,,臺中市國民中學校數按班級數、學生數別分
76,104年臺中市國中補校學生年齡別統計,民政局,臺中市政府,民政局,,,臺中市國中補校學生年齡別統計
77,104年臺中市國民小學中途輟學學生概況-行政區別,教育局,臺中市政府,教育局,,,臺中市國民小學中途輟學學生概況-行政區別
78,104年臺中市有效求職者未能推介就業之原因－按職業分,民政局,臺中市政府,民政局,,,臺中市有效求職者未能推介就業之原因－按職業分
79,104年臺中市國民中學中途輟學學生概況-行政區別,教育局,臺中市政府,教育局,,,臺中市國民中學中途輟學學生概況-行政區別
80,104年臺中市就業服務之求職、求才及推介就業人數－按職業分,民政局,臺中市政府,民政局,,,臺中市就業服務之求職、求才及推介就業人數－按職業分
81,104年臺中市高級中等學校學生異動表-進修部(學校),教育局,臺中市政府,教育局,,,臺中市高級中等學校學生異動表-進修部(學校)
82,104年臺中市就業服務之求職、求才及推介就業人數－按年齡分,民政局,臺中市政府,民政局,,,臺中市就業服務之求職、求才及推介就業人數－按年齡分
83,104年臺中市高級中等學校學生異動表-實用技能學程,教育局,臺中市政府,教育局,,,臺中市高級中等學校學生異動表-實用技能學程
84,104年臺中市就業服務之求職、求才及推介就業人數－按教育程度分,民政局,臺中市政府,民政局,,,臺中市就業服務之求職、求才及推介就業人數－按教育程度分
85,104年臺中市高級中等學校學生異動表-綜合高中,教育局,臺中市政府,教育局,,,臺中市高級中等學校學生異動表-綜合高中
86,104年臺中市職業訓練人數概況,民政局,臺中市政府,民政局,,,臺中市職業訓練人數概況
87,104年臺中市高級中等學校學生異動表-專業群科(職業科),教育局,臺中市政府,教育局,,,臺中市高級中等學校學生異動表-專業群科(職業科)
88,104年臺中市失蹤人口,民政局,臺中市政府,民政局,,,臺中市失蹤人口
89,104年臺中市高級中等學校學生異動表-普通科,教育局,臺中市政府,教育局,,,臺中市高級中等學校學生異動表-普通科
90,104年臺中市各區 嬰兒出生數按生父母教育程度及生母生育胎次分(按發生日期),民政局,臺中市政府,民政局,,,臺中市各區 嬰兒出生數按生父母教育程度及生母生育胎次分(按發生日期)
91,104年臺中市國民小學僑生及港澳學生數,教育局,臺中市政府,教育局,,,臺中市國民小學僑生及港澳學生數
92,104年臺中市高級中等學校僑生、中國大陸及港澳學生數,教育局,臺中市政府,教育局,,,臺中市高級中等學校僑生、中國大陸及港澳學生數
93,104年臺中市各區 現住原住民戶口數按戶別及性別分,民政局,臺中市政府,民政局,,,臺中市各區 現住原住民戶口數按戶別及性別分
94,104年臺中市國民小學新移民子女學生數,教育局,臺中市政府,教育局,,,臺中市國民小學新移民子女學生數
95,104年臺中市國民中學新移民子女學生數,教育局,臺中市政府,教育局,,,臺中市國民中學新移民子女學生數
96,104年臺中市各區 現住人口數按性別及原住民身分,民政局,臺中市政府,民政局,,,臺中市各區 現住人口數按性別及原住民身分
97,104年臺中市各區 現住人口數按性別、年齡及婚姻狀況分,民政局,臺中市政府,民政局,,,臺中市各區 現住人口數按性別、年齡及婚姻狀況分
98,104年臺中市國民中學補習學校原住民學生數,教育局,臺中市政府,教育局,,,臺中市國民中學補習學校原住民學生數
99,104年臺中市各區 戶數、人口數按戶別及性別分,民政局,臺中市政府,民政局,,,臺中市各區 戶數、人口數按戶別及性別分
100,104年臺中市商業登記家數及資本額異動,經濟發展發局,臺中市政府,經濟發展局,,,臺中市商業登記家數及資本額異動
101,104年臺中市國民小學補習學校原住民學生數,教育局,臺中市政府,教育局,,,臺中市國民小學補習學校原住民學生數
102,104年臺中市平均每戶家庭消費支出,主計處,臺中市政府,主計處,,,臺中市平均每戶家庭消費支出
103,104年臺中市基層農會農民健康保險及老年農民福利津貼統計,社會局,臺中市政府,社會局,,,臺中市基層農會農民健康保險及老年農民福利津貼統計
104,104年臺中市商業登記現有家數及資本額－按行業別及行政區別分,經濟發展發局,臺中市政府,經濟發展局,,,臺中市商業登記現有家數及資本額－按行業別及行政區別分
105,104年臺中市低收入戶數及人數按款別及年齡別分,社會局,臺中市政府,社會局,,,臺中市低收入戶數及人數按款別及年齡別分
106,104年臺中市商業登記異動,經濟發展發局,臺中市政府,經濟發展局,,,臺中市商業登記異動
107,104年臺中市低收入戶數及人數按身分別分,社會局,臺中市政府,社會局,,,臺中市低收入戶數及人數按身分別分
108,104年臺中市公司登記現有家數及實收資本額－按行業別分,經濟發展發局,臺中市政府,經濟發展局,,,臺中市公司登記現有家數及實收資本額－按行業別分
109,104年臺中市中低收入戶數及人數按年齡別分,社會局,臺中市政府,社會局,,,臺中市中低收入戶數及人數按年齡別分
110,104年臺中市公司登記家數及實收資本額異動,經濟發展發局,臺中市政府,經濟發展局,,,臺中市公司登記家數及實收資本額異動
111,104年臺中市中低收入戶數及人數按身分別分,社會局,臺中市政府,社會局,,,臺中市中低收入戶數及人數按身分別分
112,104年臺中市低收入戶生活扶助,社會局,臺中市政府,社會局,,,臺中市低收入戶生活扶助
113,104年臺中市爆竹煙火違法取締,消防局,臺中市政府,消防局,,,臺中市爆竹煙火違法取締
